#: ,30-50,50-70,70-90,90-110,110-130,110-130,130-150,150-170,170-200,200-250,250-300,300-350,350-400
'Electron_energy_scale',-1.30045,0.10314,0.22981,0.21565,0.11899,-0.1115,-0.08378,0.07697,0.12434,0.05721,-0.16687,-0.24637,0.2175
'Electron_energy_resolution',0.43231,0.76451,0.63361,0.53095,0.48208,0.37576,0.40818,0.35555,0.23131,0.23528,0.10649,0.11103,0.24718
'Electron_identification_eff.',-2.50667,-1.00095,-1.22914,-1.30462,-1.57468,-1.70066,-1.87098,-1.95741,-1.92272,-2.19351,-2.29195,-2.4841,-2.59629
'Electron_isolation_eff.',-0.79103,-0.2702,-0.35033,-0.42412,-0.52938,-0.85964,-0.89687,-0.89127,-1.00633,-1.26304,-1.49756,-1.39981,-1.5904
'Electron_reconstruction_eff.',-0.81819,-0.55513,-0.72422,-0.4788,-0.5896,-0.89511,-0.81165,-0.79546,-0.83686,-0.88657,-0.90873,-1.03171,-0.94201
'Electron_trigger_eff.',-1.28923,0.01906,-0.18064,-0.08832,-0.06674,-0.20023,-0.1357,0.006,-0.09131,-0.08678,-0.1915,-0.18002,0.02291
'JES_EffectiveNP_1',-17.8597,-12.1751,-9.2335,-7.75851,-7.21732,-6.01808,-5.17707,-5.06969,-4.60831,-4.00114,-4.46796,-4.31389,-3.86094
'JES_EffectiveNP_2',4.69172,2.81564,1.71389,1.11109,0.33612,0.06242,-0.24537,-0.52358,-0.43669,-0.6937,-1.72284,-2.12717,-2.27448
'JES_EffectiveNP_3',-2.56556,-1.36059,-0.64935,0.34017,0.52995,0.08998,0.09919,0.88133,0.65738,0.40032,1.49518,1.27041,1.57163
'JES_EffectiveNP_4',0.45378,-0.21654,0.18756,0.05982,-0.40494,-0.53876,-0.56183,-0.41395,-0.12738,-0.13137,0.02276,0.32239,0.58716
'JES_EffectiveNP_5',-1.30818,0.28742,0.4315,0.42695,0.29086,0.1294,-0.0801,-0.24398,-0.03635,-0.29746,-0.52856,-0.31311,-0.1712
'JES_EffectiveNP_6_restTerm',-1.61244,-0.43108,-0.00056,0.0087,-0.15418,-0.19163,-0.21069,-0.19654,-0.17028,-0.2484,-0.64521,-0.30042,-0.43091
'JES_EtaIntercalibration_Modelling',-8.7162,-4.59636,-3.72875,-3.00023,-2.89574,-2.27272,-2.26093,-2.57995,-1.8104,-1.7267,-1.9225,-2.24749,-2.11119
'JES_EtaIntercalibration_NonClosure',-0.88734,0.55114,0.10272,-0.00512,0.03986,0.80228,0.5349,-0.05948,0.09129,-0.20966,0.55155,0.17356,0.08784
'JES_EtaIntercalibration_TotalStat',-3.68249,-2.91185,-1.93223,-1.14359,-0.91104,-0.98799,-1.40915,-1.77288,-1.21271,-0.8339,-1.30145,-1.19916,-1.0393
'JES_Flavor_Composition',-0.37252,-0.34149,-0.3272,-0.42278,-0.52803,-0.64337,-0.51814,-0.34348,-0.10681,-0.23638,-0.71383,-0.77451,-0.57904
'JES_Flavor_Response',5.48299,3.2408,2.89905,2.66452,2.42758,1.65479,1.60309,1.70272,1.63264,0.99358,1.77801,1.15084,0.59956
